'dl' (Options: Function Name)
Capapaa (DL13_DBW_muscle)
Capapap (DL17_DBW_muscle)
Cappaaa (DL11_DBW_muscle)
Cappaap (DL18_DBW_muscle)
Cappapa (DL19_DBW_muscle)
Cappapp (DL23_DBW_muscle)
Capppaa (DL20_DBW_muscle)
Capppap (DL22_DBW_muscle)
Cappppd (DL24_DBW_muscle)
Daaap (DL7_DBW_muscle)
Dappaa (DL8_DBW_muscle)
Dappap (DL10_DBW_muscle)
Dapppa (DL12_DBW_muscle)
Dapppp (DL14_DBW_muscle)
MSapaaap (DL1_DBW_muscle)
MSapappa (DL2_DBW_muscle)
MSapappp (DL3_DBW_muscle)
MSapppap (DL5_DBW_muscle)
MSappppa (DL4_DBW_muscle)
MSappppp (DL6_DBW_muscle)
