'dr' (Options: Function Name)
Cppapaa (DR13_DBW_muscle)
Cppapap (DR17_DBW_muscle)
Cpppaaa (DR11_DBW_muscle)
Cpppaap (DR18_DBW_muscle)
Cpppapa (DR19_DBW_muscle)
Cpppapp (DR23_DBW_muscle)
Cppppaa (DR20_DBW_muscle)
Cppppap (DR22_DBW_muscle)
Cpppppd (DR24_DBW_muscle)
Dpaap (DR7_DBW_muscle)
Dppap (DR9_DBW_muscle)
Dpppaa (DR8_DBW_muscle)
Dpppap (DR10_DBW_muscle)
Dppppa (DR12_DBW_muscle)
Dppppp (DR14_DBW_muscle)
MSppaaap (DR1_DBW_muscle)
MSppappa (DR2_DBW_muscle)
MSppappp (DR3_DBW_muscle)
MSppppap (DR5_DBW_muscle)
MSpppppa (DR4_DBW_muscle)
MSpppppp (DR6_DBW_muscle)
