ADAL,ABplapaaaapp
ADAR,ABprapaaaapp
AIZL,ABplapaaapav
AIZR,ABprapaaapav
ALML,ABarppaappa
ALMR,ABarpppappa
ALNL,ABplapappppap
ALNR,ABprapappppap
BDUL,ABarppaappp
BDUR,ABarpppappp
DB1/3,ABplpaaaapp
DB3/1,ABprpaaaapp
DVC,Caapaa
FLPL,ABplapaaapad
FLPR,ABprapaaapad
HSNL,ABplapppappa
HSNR,ABprapppappa
LUAL,ABplpppaapap
LUAR,ABprpppaapap
PHAL,ABplpppaapp
PHAR,ABprpppaapp
PHBL,ABplapppappp
PHBR,ABprapppappp
PLML,ABplapappppaa
PLMR,ABprapappppaa
PVCL,ABplpppaapaa
PVCR,ABprpppaapaa
PVQR,ABprapppaaa
PVR,Caappa
RMGL,ABplapaaapp
RMGR,ABprapaaapp
SMBDL,ABalpapapapp
SMBDR,ABarappapapp
DD3,ABplppapppa
DD5,ABplppapppp
