ABaraaapaaa (posterior_arcade_dr)
ABalpaapaaa (posterior_arcade_dl)
ABalpaapaap (e2DL)
ABalpappapa (e2V)
ABaraaapaap (e2DR)
ABaraaaaaaa (e1VL)
ABaraaaaapa (e1VR)
ABaraaaapap (e1D)
ABalpaaaaaa (e3VL)
ABaraapaaaa (e3D)
ABarapaaaaa (e3VR)
ABalpaapapa (mc1DL)
ABalpappppa (mc1V)
ABaraaapapa (mc1DR)
ABaraapaapp (mc2DL)
ABaraappapp (mc2DR)
ABarapapppa (mc2V)
ABalpappapp (mc3V)
MSaaapapa (mc3DL)
MSpaapapa (mc3DR)
MSaapaapaa (g1AL)
MSpapaapaa (g1AR)
MSaaaaapap (g1P)
MSpapapaa (g2R)
MSaapapaa (g2L)
ABalpaaappp (MCL)
ABarapaappp (MCR)
ABalpapppaa (I1L)
ABarapappaa (I1R)
ABalpappaapa (I2L)
ABarapapaapa (I2R)
ABaraapapaav (NSML)
ABaraapppaav (NSMR)
MSaaaaapaa (I3)
MSaaaapaa (I4)
ABarapapapp (I5)
MSpaaapaa (I6)
ABaraappaaa (MI)
ABalpaapapp (m3L)
ABalpappppp (m3VL)
ABaraapappp (M3L)
ABaraappppp (M3R)
ABarapaappa (m3R)
ABarapapppp (m3VR)
MSaaapaaa (m3DL)
MSpaaaapa (m3DR)
ABalpaaaaap (m2VL_of_pm2)
ABalpaaapaa (m2L_of_pm2)
ABaraapaapa (m2DL_of_pm2)
ABaraapappa (M2L)
ABaraappapa (m2DR_of_pm2)
ABaraappppa (M2R)
ABarapaaaap (m2VR_of_pm2)
ABarapaapaa (m2R_of_pm2)
ABalpaaaapa (m1VL_of_pm1)
ABaraaaaaap (m1L_of_pm1)
ABaraaaaapp (m1R_of_pm1)
ABaraapaaap (m1DL_of_pm1)
ABaraappaap (m1DR_of_pm1)
ABarapaaapa (m1VR_of_pm1)
MSpaapaaa (M1)
ABaraaapapp (m4R)
MSaaaaapp (m4DL)
MSaaapaap (m4L)
MSaapaaaa (m4VL)
MSpaaaaaa (M4)
MSpaaaapp (m4DR)
MSpapaaaa (m4VR)
ABaraapapap (m5L)
ABaraapppap (m5R)
MSaaaapap (M5DL)
MSaapaaap (m5VL)
MSpaaapap (M5)
MSpaaappa (m5DR)
MSpapaaap (m5VR)
MSaapappa (m6VL)
MSpaaappp (m6D)
MSpapappa (m6VR)
MSaaaappp (m7D)
MSaapaapp (m7VL)
MSpapaapp (m7VR)
MSaaapapp (m8)
MSaaappp (vpi3D)
MSaapappp (vpi2DL)
MSaappaa (vpi2V)
MSaappap (vpi3V)
MSpaapapp (vpi1)
MSpapappp (vpi2DR)
MSaaaaapa (*parent I3, g1P)
MSpapapa (*parent of g2R, MSpapapap:death t350)
MSaapapa (*parent of g2L, MSaapapap:death t359)
ABalpappaaap (*parent of I2L, ABalpappaapp:death t377)
MSaapaapa (*parent of g1AL, MSaapaapap:death t378)
ABarapapaap (*parent of I2R, ABarapapaapp:death after t379)
ABaraapppaa (*parent of NSMR, ABaraapppaad:death after t379)
MSpapaapa (*parent of g1AR, MSpapaapap:death after t379)
ABaraapapaa (*parent of NSML, ABaraapapaad:death after t379)
