'vr' (Options: Function Name)
ABprpppppaa (VR20_VBW_muscle)
Cppaaaa (VR9_VBW_muscle)
Cppaaap (VR11_VBW_muscle)
Cppaapa (VR13_VBW_muscle)
Cppaapp (VR15_VBW_muscle)
Cppappa (VR19_VBW_muscle)
Cppappp (VR22_VBW_muscle)
Cpppppv (VR24_VBW_muscle)
Dpaaa (VR5_VBW_muscle)
Dpapa (VR4_VBW_muscle)
Dpapp (VR6_VBW_muscle)
Dppaa (VR7_VBW_muscle)
MSpappap (VR16_VBW_muscle)
MSpapppaa (VR8_VBW_muscle)
MSpapppap (VR10_VBW_muscle)
MSpappppa (VR12_VBW_muscle)
MSpappppp (VR14_VBW_muscle)
MSppapap (VR1_VBW_muscle)
MSpppapp (VR2_VBW_muscle)
MSppppaa (VR3_VBW_muscle)
